SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-23-2021,Single Family Residential,1813 Elm St,Forest Grove,OR,97116,365000.0,3.0,1.0,"Hillsboro, Forest Grove",1196.0,4791.0,1900.0,162.0,305.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1813-Elm-St-97116/home/25729313,RMLS,21172651.0,N,Y,45.5174827,-123.1026004
PAST SALE,December-3-2021,Single Family Residential,1401 Filbert St,Forest Grove,OR,97116,540000.0,4.0,2.0,"Hillsboro, Forest Grove",2241.0,19602.0,1905.0,29.0,241.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1401-Filbert-St-97116/home/26678072,RMLS,21135509.0,N,Y,45.5124981,-123.1008202
PAST SALE,December-22-2021,Single Family Residential,1737 Poplar St,Forest Grove,OR,97116,420000.0,3.0,2.0,"Hillsboro, Forest Grove",1609.0,8712.0,1996.0,10.0,261.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/1737-Poplar-St-97116/home/26585026,RMLS,21661171.0,N,Y,45.5167533,-123.085989
PAST SALE,July-14-2021,Single Family Residential,3452 Oakcrest Dr,Forest Grove,OR,97116,507500.0,3.0,2.0,OAK HILL SETTLEMENT,1927.0,7840.0,2014.0,171.0,263.0,29.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/3452-Oakcrest-Dr-97116/home/54836413,RMLS,21463328.0,N,Y,45.5381461,-123.1319248
PAST SALE,July-23-2021,Single Family Residential,3245 Circle Crest Dr,Forest Grove,OR,97116,715000.0,3.0,3.5,Forest Gale Heights,3906.0,41382.0,1977.0,162.0,183.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/3245-Circle-Crest-Dr-97116/home/26638520,RMLS,21653869.0,N,Y,45.5338444,-123.1470007
PAST SALE,October-22-2021,Single Family Residential,2724 Harvest Ct,Forest Grove,OR,97116,555000.0,4.0,2.5,"Hillsboro, Forest Grove",1922.0,6969.0,1997.0,71.0,289.0,12.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2724-Harvest-Ct-97116/home/26614939,RMLS,21426853.0,N,Y,45.5280695,-123.1396727
PAST SALE,November-30-2021,Single Family Residential,2233 Strasburg Dr,Forest Grove,OR,97116,637000.0,5.0,2.5,PACIFIC CROSSING,3077.0,6098.0,2016.0,32.0,207.0,75.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2233-Strasburg-Dr-97116/home/105561242,RMLS,21394465.0,N,Y,45.5239456,-123.1317109
PAST SALE,December-3-2021,Single Family Residential,515 Gales Creek Rd,Forest Grove,OR,97116,420000.0,3.0,1.5,CPO12 FOREST GROVE,1819.0,10890.0,1948.0,29.0,231.0,,Sold,,,https://www.redfin.com/OR/Forest-Grove/515-Gales-Creek-Rd-97116/home/25841883,RMLS,21115675.0,N,Y,45.5303316,-123.1375438
PAST SALE,September-30-2021,Single Family Residential,2733 28th Ave,Forest Grove,OR,97116,400000.0,3.0,2.5,"Hillsboro, Forest Grove",1415.0,2178.0,2008.0,93.0,283.0,21.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2733-28th-Ave-97116/home/25841549,RMLS,21029290.0,N,Y,45.5292382,-123.0979019
PAST SALE,September-23-2021,Single Family Residential,2809 25th Ave,Forest Grove,OR,97116,451000.0,3.0,2.5,"Hillsboro, Forest Grove",1752.0,2178.0,2015.0,100.0,257.0,28.0,Sold,,,https://www.redfin.com/OR/Forest-Grove/2809-25th-Ave-97116/home/101102273,RMLS,21244085.0,N,Y,45.5264583,-123.0972279
